//Date Created 2022-12-09 13:15:58.932146
"//Units: sec, m/s/s"
Action,walking
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
459,4.575098752975464,-1.750944,11.926512,1.528488
460,4.585788726806641,-1.810744,12.816336,1.313208
461,4.595083951950073,-2.24848,13.615264,1.162512
462,4.6055450439453125,-2.951728,13.361712,1.561976
463,4.61578369140625,-3.195712,12.058072,2.02124
464,4.625570774078369,-2.839304,10.615696,2.772328
465,4.635554552078247,-2.298712,9.285744,3.2292
466,4.645780086517334,-1.456728,8.10888,3.714776
467,4.655548810958862,-0.734344,6.898528,3.55212
468,4.665127277374268,-0.444912,5.94412,3.621488
469,4.675791501998901,-0.593216,5.87236,3.334448
470,4.685094833374023,-1.081184,7.070752,2.731664
471,4.69555139541626,-1.87772,9.701952,1.908816
472,4.705796957015991,-2.528344,11.991096,1.406496
473,4.715819597244263,-2.748408,11.940864,1.569152
474,4.725525140762329,-2.095392,11.43376,1.968616
475,4.7357964515686035,-0.942448,12.012624,2.02124
476,4.745259523391724,0.124384,12.476672,2.28436
477,4.755121946334839,0.832416,12.022192,2.552264
478,4.765828371047974,1.227096,11.010376,2.418312
479,4.77613377571106,1.715064,9.953112,2.576184
480,4.785175800323486,2.071472,8.926944,2.949336
481,4.795132398605347,2.186288,8.374392,3.437304
482,4.8055572509765625,1.870544,7.915128,3.961152
483,4.8155412673950195,1.169688,7.348224,4.262544
484,4.825773239135742,0.3588,6.73348,4.441944
485,4.8351147174835205,-0.57408,6.32684,4.50892
486,4.8455750942230225,-1.21992,6.066112,4.097496
487,4.855890989303589,-2.028416,6.264648,4.463472
488,4.86530065536499,-1.664832,6.331624,3.89896
489,4.875087022781372,-2.530736,5.989568,3.195712
490,4.885960340499878,-2.265224,6.738264,3.279432
491,4.895185470581055,-1.521312,7.924696,3.588
492,4.905239582061768,-2.159976,8.1926,3.190928
493,4.915876626968384,-2.937376,7.508488,2.43984
494,4.925746202468872,-2.755584,7.010952,1.968616
495,4.9351420402526855,-2.136056,7.561112,2.375256
496,4.945748329162598,-1.884896,8.075392,2.877576
497,4.955064535140991,-2.169544,8.458112,3.231592
498,4.965134382247925,-2.638376,8.269144,2.609672
499,4.975748062133789,-3.045016,7.867288,1.837056
500,4.985211372375488,-3.358368,7.836192,1.571544
501,4.995083808898926,-3.85112,8.372,1.803568
502,5.005711317062378,-4.355832,8.98196,2.04516
503,5.015504598617554,-4.745728,9.347936,2.006888
504,5.025503158569336,-4.925128,9.560824,1.894464
505,5.035784721374512,-4.937088,9.701952,1.8538
506,5.045118093490601,-4.905992,9.838296,1.858584
507,5.055071830749512,-4.650048,10.041616,1.884896
508,5.0658955574035645,-4.147728,10.209056,1.882504
509,5.07521390914917,-3.568864,10.469784,2.126488
510,5.085259675979614,-3.152656,11.0032,1.968616
511,5.0958850383758545,-3.042624,11.991096,1.712672
512,5.105127334594727,-2.937376,12.74936,1.607424
513,5.115279674530029,-2.753192,13.103376,1.624168
514,5.125271320343018,-2.255656,12.962248,1.691144
515,5.1352198123931885,-1.784432,12.397736,2.11692
516,5.1453375816345215,-1.353872,11.802128,2.298712
517,5.155869245529175,-1.27972,11.024728,2.291536
518,5.165210723876953,-1.41128,10.3454,2.389608
519,5.175167083740234,-1.695928,10.259288,2.145624
520,5.185856103897095,-2.083432,10.563072,2.006888
521,5.195061206817627,-2.528344,11.065392,1.870544
